object,zone,it,tobs,apobs,e1,e2,e3,bn1,bn2,bn3,rms_baseline,s11,s21,s31,s12,s22,s32,s13,s23,s33
42928                         , 2, 23,    8.7530,   5533.0673,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5225.3961,     5413.2867,     5605.0203,     5294.9254,     5482.8241,     5674.5878,     5326.5633,     5514.4718,     5706.2547,
42928                         , 2, 24,    8.8680,   5532.1077,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5222.9605,     5410.8515,     5602.5851,     5293.4063,     5481.3051,     5673.0684,     5325.4604,     5513.3689,     5705.1515,
42928                         , 2, 25,    9.7658,   5524.0347,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5203.9145,     5391.8095,     5583.5407,     5281.5302,     5469.4290,     5661.1887,     5316.8392,     5504.7472,     5696.5270,
42928                         , 2, 26,   10.1141,   5522.6508,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5196.5097,     5384.4059,     5576.1360,     5276.9139,     5464.8122,     5656.5702,     5313.4883,     5501.3959,     5693.1742,
42928                         , 2, 27,   10.5844,   5518.3739,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5186.4913,     5374.3895,     5566.1177,     5270.6690,     5458.5666,     5650.3218,     5308.9552,     5496.8619,     5688.6380,
42928                         , 2, 28,   10.7951,   5517.1710,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5181.9971,     5369.8959,     5561.6232,     5267.8678,     5455.7648,     5647.5186,     5306.9217,     5494.8278,     5686.6027,
42928                         , 2, 29,   11.5980,   5509.4465,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5164.8331,     5352.7338,     5544.4570,     5257.1693,     5445.0640,     5636.8118,     5299.1543,     5487.0577,     5678.8275,
42928                         , 2, 30,   11.8170,   5508.3094,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5160.1424,     5348.0435,     5539.7653,     5254.2453,     5442.1391,     5633.8852,     5297.0310,     5484.9335,     5676.7016,
42928                         , 2, 31,   12.7322,   5499.9455,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5140.5051,     5328.4070,     5520.1226,     5242.0006,     5429.8903,     5621.6281,     5288.1365,     5476.0345,     5667.7953,
42928                         , 2, 32,   12.8347,   5499.1411,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5138.3031,     5326.2051,     5517.9200,     5240.6272,     5428.5164,     5620.2532,     5287.1385,     5475.0360,     5666.7958,
42928                         , 2, 33,   13.7411,   5489.5557,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5118.8150,     5306.7182,     5498.4271,     5228.4694,     5416.3536,     5608.0814,     5278.3006,     5466.1926,     5657.9438,
42928                         , 2, 34,   14.6483,   5480.8454,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5099.3046,     5287.2112,     5478.9160,     5216.2924,     5404.1721,     5595.8909,     5269.4423,     5457.3281,     5649.0703,
42928                         , 2, 35,   14.7582,   5479.9645,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5096.9419,     5284.8491,     5476.5537,     5214.8175,     5402.6967,     5594.4143,     5268.3689,     5456.2540,     5647.9950,
42928                         , 2, 36,   15.3405,   5474.5044,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5084.4373,     5272.3490,     5464.0533,     5207.0107,     5394.8872,     5586.5997,     5262.6861,     5450.5675,     5642.3030,
42928                         , 2, 37,   15.5602,   5471.6562,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5079.7248,     5267.6386,     5459.3434,     5204.0682,     5391.9440,     5583.6547,     5260.5438,     5448.4239,     5640.1575,
42928                         , 2, 38,   15.7747,   5470.4871,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5075.1263,     5263.0426,     5454.7479,     5201.1967,     5389.0720,     5580.7811,     5258.4531,     5446.3322,     5638.0639,
42928                         , 2, 39,   16.0200,   5468.5823,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5069.8723,     5257.7919,     5449.4978,     5197.9159,     5385.7908,     5577.4984,     5256.0644,     5443.9423,     5635.6720,
42928                         , 2, 40,   16.3570,   5465.7827,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5062.6656,     5250.5897,     5442.2974,     5193.4160,     5381.2905,     5572.9965,     5252.7879,     5440.6645,     5632.3919,
42928                         , 2, 41,   16.5759,   5463.3898,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5057.9893,     5245.9167,     5437.6260,     5190.4964,     5378.3711,     5570.0761,     5250.6624,     5438.5383,     5630.2643,
42928                         , 2, 42,   16.7908,   5461.5516,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5053.4011,     5241.3322,     5433.0433,     5187.6322,     5375.5074,     5567.2117,     5248.5773,     5436.4527,     5628.1776,
42928                         , 2, 43,   17.2673,   5457.4467,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5043.2477,     5231.1881,     5422.9049,     5181.2963,     5369.1729,     5560.8768,     5243.9658,     5431.8407,     5623.5635,
42928                         , 2, 44,   17.5909,   5454.4843,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5036.3656,     5224.3135,     5416.0352,     5177.0037,     5364.8822,     5556.5863,     5240.8426,     5428.7176,     5620.4396,
42928                         , 2, 45,   18.3821,   5447.8889,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     5019.5787,     5207.5482,     5399.2853,     5166.5422,     5354.4270,     5546.1342,     5233.2359,     5421.1130,     5612.8347,
42928                         , 2, 46,   19.4026,   5438.0711,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     4997.9933,     5185.9967,     5377.7599,     5153.1123,     5341.0095,     5532.7249,     5223.4841,     5411.3673,     5603.0924,
42928                         , 2, 47,   19.7226,   5435.2772,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     4993.0417,     5180.9616,     5372.6737,     5148.9100,     5336.8118,     5528.5305,     5220.4360,     5408.3219,     5600.0486,
42928                         , 2, 48,   19.8337,   5434.2471,  0.287662,  0.294900,  0.302138,   50.8560,   81.1953,  111.5345,    6.387748,     4993.0417,     5180.9616,     5372.6737,     5148.3609,     5336.2228,     5527.9223,     5219.4816,     5407.3443,     5599.0628,
42928                         , 3,  1,    0.0000,   5427.6526,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5236.3147,     5391.8496,     5550.0742,     5236.3147,     5391.8496,     5550.0742,     5236.3147,     5391.8496,     5550.0742,
42928                         , 3,  2,    0.2119,   5426.1718,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5232.4915,     5388.0221,     5546.2415,     5234.6208,     5390.1533,     5548.3751,     5235.2206,     5390.7535,     5548.9760,
42928                         , 3,  3,    0.4308,   5424.0529,  0.280294,  0.286411,  0.292528,   35.6864,   81.1953,  126.7041,    1.155043,     5228.5475,     5384.0741,     5542.2885,     5232.8744,     5388.4045,     5546.6235,     5234.0929,     5389.6241,     5547.8444,
