day,apogee_alt_km,sma_km,ecc
   41.5216,   6112.8042,   9514.9191,  0.312774
   41.6285,   6112.4037,   9514.7204,  0.312760
   41.7354,   6112.0028,   9514.5217,  0.312745
   41.8423,   6111.6014,   9514.3230,  0.312730
   41.9492,   6111.1995,   9514.1244,  0.312715
   42.0561,   6110.7971,   9513.9258,  0.312700
   42.1630,   6110.3942,   9513.7273,  0.312685
   42.2699,   6109.9910,   9513.5289,  0.312670
   42.3768,   6109.5873,   9513.3305,  0.312655
   42.4836,   6109.1833,   9513.1322,  0.312640
   42.5905,   6108.7788,   9512.9340,  0.312625
   42.6974,   6108.3740,   9512.7359,  0.312610
   42.8043,   6107.9689,   9512.5380,  0.312595
   42.9111,   6107.5635,   9512.3401,  0.312579
   43.0180,   6107.1578,   9512.1423,  0.312564
   43.1249,   6106.7519,   9511.9446,  0.312548
   43.2317,   6106.3457,   9511.7470,  0.312533
   43.3386,   6105.9393,   9511.5496,  0.312518
   43.4454,   6105.5328,   9511.3523,  0.312502
   43.5523,   6105.1261,   9511.1551,  0.312486
   43.6591,   6104.7192,   9510.9581,  0.312471
   43.7659,   6104.3123,   9510.7612,  0.312455
   43.8728,   6103.9053,   9510.5644,  0.312440
   43.9796,   6103.4983,   9510.3678,  0.312424
   44.0864,   6103.0912,   9510.1714,  0.312408
   44.1933,   6102.6842,   9509.9751,  0.312393
   44.3001,   6102.2772,   9509.7789,  0.312377
   44.4069,   6101.8703,   9509.5829,  0.312361
   44.5137,   6101.4634,   9509.3871,  0.312345
   44.6205,   6101.0567,   9509.1914,  0.312330
   44.7273,   6100.6501,   9508.9959,  0.312314
   44.8342,   6100.2437,   9508.8006,  0.312298
   44.9410,   6099.8375,   9508.6054,  0.312282
   45.0478,   6099.4316,   9508.4104,  0.312266
   45.1546,   6099.0258,   9508.2156,  0.312251
   45.2613,   6098.6204,   9508.0209,  0.312235
   45.3681,   6098.2152,   9507.8264,  0.312219
   45.4749,   6097.8104,   9507.6321,  0.312203
   45.5817,   6097.4059,   9507.4380,  0.312188
   45.6885,   6097.0018,   9507.2440,  0.312172
   45.7953,   6096.5981,   9507.0502,  0.312156
